;standard,0.0,False;uniform-linf,0.02,False;uniform-linf,0.03,False;uniform-l0.5,100000.0,False;uniform-l0.5,200000.0,False;uniform-l1,40.0,False;uniform-l1,80.0,False;uniform-l2,1.0,False;uniform-l2,2.0,False;uniform-l50,0.1,False;uniform-l50,0.2,False;uniform-l0-impulse-max,0.01,True;uniform-l0-impulse-max,0.02,True;uniform-l0-impulse-linear,0.02,False;uniform-l0-impulse-linear,0.03,False;uniform-l0-impulse-linear,0.06,False
uniform-l0-impulse-max,0.02,True;68,02;75,958;79,526;77,492;86,262;77,124;85,694;76,826;86,15;77,082;86,144;94,36;94,372;94,386;94,422;94,386
uniform-l0-impulse-max,0.04,True;46,762;55,126;59,304;58,166;72,118;54,098;70,664;54,402;71,734;54,036;73,03;93,816;94,088;93,846;93,886;94,182
uniform-l0-impulse-linear,0.02,False;82,626;87,302;89,13;88,22;91,438;87,944;91,296;87,594;91,416;88,026;91,436;94,338;94,322;94,46;94,482;94,504
uniform-l0-impulse-linear,0.03,False;75,478;82,702;85,41;83,396;89,648;82,856;89,416;82,754;89,696;83,202;89,692;94,078;94,132;94,396;94,468;94,434
uniform-l0-impulse-linear,0.06,False;53,3;64,504;70,322;66,712;80,864;63,71;79,68;63,196;80,278;63,636;81,642;92,51;93,002;93,834;93,918;94,156
;;;;;;;;;;;;;;;;
;85,1064;91,6152;92,6524;91,628;92,5888;91,2484;92,7324;91,2412;92,73;91,598;93,0976;88,8752;88,6752;89,8016;90,6956;91,5396
;73,5475;82,078;85,7025;82,492;88,8835;80,94;88,6495;80,7945;88,76;81,328;89,769;82,377;82,4995;86,1855;87,936;89,6695
;74,2895;82,893;86,522;83,315;89,359;81,907;89,2475;81,589;89,339;82,233;90,1965;83,1185;83,106;86,643;88,3005;89,9975
;78,3495;88,037;90,5465;88,1525;91,7085;87,225;91,686;87,0005;91,772;87,713;92,2405;86,2245;86,2775;88,9;90,215;91,4435
;62,33333333;73,456;78,20133333;73,934;84,07733333;71,80066667;83,47;71,616;83,754;71,94466667;85,35666667;74,68866667;74,93533333;80,32866667;83,16333333;85,98733333
;70,045;79,0175;82,631;79,399;86,664;77,8505;86,2785;77,675;86,4725;77,999;87,6395;79,6965;79,8355;84,0685;86,1355;88,2795
;76,812;85,1595;88,186;85,517;90,3915;84,327;90,2705;84,066;90,3065;84,724;91,0935;84,789;84,8705;87,8505;89,2875;90,7565
;70,84666667;82,174;86,40266667;82,434;89,46533333;80,864;89,26333333;80,52;89,396;81,296;90,21133333;81,37066667;81,61466667;85,566;87,482;89,474
;67,402;73,669;76,89175;74,86325;82,71725;74,33075;82,2815;73,79775;82,34775;74,332;83,00975;93,0135;93,7315;93,53425;93,698;94,23425
;;;;;;;;;;;;;;;;
;93,871;93,512;93,656;93,635;93,994;94,7156;;;;;;;;;;
;92,1338;92,1084;91,9904;91,9856;92,3478;89,91744;;;;;;;;;;
;83,89025;85,68775;84,79475;84,77725;85,5485;85,7335;;;;;;;;;;
;84,7075;86,337;85,57725;85,464;86,21475;86,2331;;;;;;;;;;
;89,29175;89,9305;89,4555;89,38625;89,97675;88,6121;;;;;;;;;;
;75,82866667;79,00566667;77,63533333;77,685;78,65066667;79,82066667;;;;;;;;;;
;80,82425;83,0315;82,0645;82,07375;82,81925;83,6031;;;;;;;;;;
